interval_start,interval_end,roc_auc,pr_auc,recall,p_borrow_rate_vs_open,p_ltv_vs_open,p_collateral_price_vs_6h,p_volatility_6h,p_drawdown_6h,p_ltv_change_1h,p_distance_to_liq,p_borrow_rate_trend,p_ltv_times_rate,p_debt_change_1h,p_volatility_ltv,coef_const,coef_borrow_rate_vs_open,coef_ltv_vs_open,coef_collateral_price_vs_6h,coef_volatility_6h,coef_drawdown_6h,coef_ltv_change_1h,coef_distance_to_liq,coef_borrow_rate_trend,coef_ltv_times_rate,coef_debt_change_1h,coef_volatility_ltv
2025-01-01 00:58:01,2025-01-01 00:58:01,0.5948209858042015,0.07537953483423088,0.0,1.8459552215769205e-07,3.2684430693047884e-05,0.01326326123127778,0.9913742967883746,0.4774728323058609,0.005679011897298947,0.0005140823980087637,3.693694812748694e-10,0.9265181088098733,0.07951731995729004,0.15848997793481523,-2.6879339933851236,0.29078735201995204,0.11416031826661312,-0.10889353054708645,0.001263323128143629,-0.03372445801493835,0.08065411842761137,0.16714047822827613,-0.25219615432394676,-0.006128575352201965,0.035245966692653,0.16386337657376307
2025-02-01 00:09:01,2025-02-01 00:09:01,0.6186108241775441,0.0619293055575611,0.0,0.6421622967826439,1.8703851810542735e-37,4.574162824795052e-12,0.9859833623210973,0.004895516932543091,0.29480648896198547,4.806266077386593e-21,2.5570705649629595e-07,1.4556519064939792e-07,0.051018574770838584,0.15341966429110512,-3.0879149881480363,-0.016259179994630113,0.3369845033646984,-0.28170346928883455,0.0018953775651799898,-0.13011280149324478,0.028992800342071735,0.47851339816655275,-0.17870464036030925,0.2608372534604053,0.04536525430018135,0.15602871058508347
2025-03-01 03:11:31,2025-03-01 03:11:31,0.5748888906145249,0.08580716774119325,0.0,0.003628334672671868,4.518608555715646e-33,1.8644556457336206e-17,0.3261033220591141,0.002191046254296568,0.05213662169243215,2.940825220438973e-12,0.0009663229385009877,0.007180650640508396,0.4222073071544259,0.09493581400632288,-3.1052213909212463,0.10074974836237037,0.3601425920761137,-0.395979305632386,-0.1270759974242134,-0.1679801771732537,0.06240238845944644,0.6283051230279643,-0.0858183427051257,0.23269878072859196,-0.02065135006666547,0.2234712755225181
2025-04-01 00:18:09,2025-04-01 00:18:09,0.6769251344493258,0.21397046934744227,0.041811846689895474,1.6976461550258795e-05,1.5341428116499421e-68,7.432698374580368e-09,0.013424050122317599,0.0016998604885130766,0.15461780638337125,0.0001854540208771087,0.0013698648612893852,0.2886095825716539,0.01418795550274715,0.06530324174755439,-2.60584971056996,-0.7040350048714847,0.6604530716698107,-0.3474863735474946,-0.5565701346014558,-0.21226860198257239,-0.06966390464663065,0.39267959574110645,0.2956989746224966,0.19131032724142005,0.06227508976771008,0.4218081903536947
2025-05-01 04:32:33,2025-05-01 04:32:33,0.6247279769410917,0.149661985053536,0.0,9.67782605482265e-06,2.0252040571769617e-58,0.00010568513177846385,0.43951618470511045,0.19249695681009082,8.808240515730566e-07,0.3390029200619744,9.329371509385323e-06,0.024463797011312075,0.0020371739761892798,0.5671817227344556,-2.3142110498821067,-0.5255220861461571,0.5497654208075874,-0.25372615821677474,-0.13459993831078243,-0.0864240434185154,-0.1903413313844224,-0.08229056495995593,0.44654254419206885,-0.3562859175842728,0.07551533918725246,-0.10583944903773622
2025-06-01 00:53:27,2025-06-01 00:53:27,0.5894712844989488,0.22506826189336243,0.001941747572815534,3.7890877472728085e-07,1.618463082850258e-23,0.00044610488749558235,0.7356522056437877,0.08305974253052065,9.708544229736264e-09,0.05156278385688887,1.487599723251687e-05,0.013856619527191763,0.15664432993741978,0.5122038461974241,-2.060301178687788,-0.48722387259941213,0.43124595554307593,-0.18731196068585831,-0.04423562645307597,-0.09696199827154639,-0.24002369354951675,-0.16443972347310193,0.38370490020754927,-0.31873835942135903,0.035399215465145586,-0.09059543500199833
2025-07-01 00:44:35,2025-07-01 00:44:35,0.6302515923566879,0.293810742369349,0.0,0.0002547211136726544,1.380107612645812e-17,0.694494961695569,0.5702430393467186,0.4927954168848141,0.00012885051693632614,6.583781791046061e-09,0.0001036602942092492,2.6247778543172487e-16,0.7233204146834129,0.7906064224364184,-1.7537785232842114,-0.1603459616280581,0.44995088513405784,-0.017794580463444787,-0.06999198220885677,-0.03451569615266538,-0.1740748140827071,-0.5844008312168356,0.1938728957990404,-0.8815533796122528,0.010119212870744802,0.03665909598141683
2025-08-01 01:42:17,2025-08-01 01:42:17,0.6039628067993066,0.12069237922403632,0.0,4.415442854555604e-06,2.5149633331318796e-39,0.4080758267113386,0.26575631893883234,0.4278993066984743,0.5797464245362618,0.09364544039028243,4.6168148522547676e-08,0.0006010848929498855,0.02663683745681046,0.667782924972446,-1.810395263749996,-0.9149212736915816,1.8072793254214266,-0.037011733343801194,-0.13970175120731462,0.03813009451586504,-0.016437922764030565,-0.2799573791302852,0.9583898105978949,-2.7827170051661323,0.05835188870206359,0.07309602768630696
2025-09-01 01:36:41,2025-09-01 01:36:41,0.5839048654721711,0.192324703257598,0.0,0.13239335855157944,6.102775324871873e-28,0.49783262843170406,0.6442510675952025,0.7768479390417353,9.927620431678036e-08,1.2243716697910197e-26,9.274502741556047e-16,2.7275997990019935e-29,0.07855661366269907,0.0898335841965791,-1.9307914511017406,-0.13911820729745103,0.5070632445204464,-0.0270808840012158,0.0481736506074031,-0.011363696530449855,-0.2791959195998084,-2.1422875915208484,0.8059528398809096,-2.4529785953777035,0.029509920881156268,-0.18707149810553317
2025-10-01 00:06:43,2025-10-01 00:06:43,0.525089093598709,0.19644703128242513,0.0,1.0916605681158989e-09,8.515431320399247e-08,0.0003199800751601473,0.3390984996266778,0.24260376342030754,0.017193693972114253,7.499252803799785e-27,0.7517755709353081,1.2795256031076705e-23,0.7995337490525256,0.049986295830437795,-1.7589352125277113,0.8162156378397787,0.6155213036065809,0.15451041739745708,0.1075054182618751,0.04769752874171912,-0.2451701406047715,-6.496631296762071,-0.027579308402319116,-5.9504832822496585,0.005585339314831839,-0.46593725560195
