interval_start,interval_end,roc_auc,pr_auc,p_borrow_rate_vs_open,p_ltv_vs_open,p_collateral_price_vs_open,p_collateral_price_vs_6h,p_volatility_6h,p_drawdown_6h,p_action_count_last_6h,p_ltv_change_1h,p_distance_to_liq,p_borrow_rate_trend,p_ltv_times_rate,p_debt_change_1h,p_volatility_ltv,p_log_debt,p_log_dist_to_liq,p_hour_of_day,p_day_of_week,coef_const,coef_borrow_rate_vs_open,coef_ltv_vs_open,coef_collateral_price_vs_open,coef_collateral_price_vs_6h,coef_volatility_6h,coef_drawdown_6h,coef_action_count_last_6h,coef_ltv_change_1h,coef_distance_to_liq,coef_borrow_rate_trend,coef_ltv_times_rate,coef_debt_change_1h,coef_volatility_ltv,coef_log_debt,coef_log_dist_to_liq,coef_hour_of_day,coef_day_of_week
2025-01-03 02:21:43,2025-01-03 02:21:43,0.7294809543224978,0.19896311831484909,0.8632965370468872,0.10739525206177203,3.263855103169154e-08,0.08239172220772434,0.790196897963311,0.06538696314907104,1.0680176613862911e-27,0.0015435598109751134,1.119788372813066e-19,0.07673675359970539,0.0043119928435238946,0.8678283526908064,0.43137477398274504,0.034387045005297844,1.3490262104355915e-23,0.059342504351118,0.5588326166034691,-2.5847813563348936,0.01776712150321869,0.06472256332763995,0.2629549292589711,0.14199137160705758,0.04666218748754108,0.15450976183489432,0.3292073680581945,0.14064647202033687,4.597648333602761,0.16271268291171903,-0.3554630539178662,0.008445963305285903,0.1308823479917804,0.10414748351472386,-4.919321667410095,0.08727627607270545,-0.02815730849408245
2025-02-01 03:12:35,2025-02-01 03:12:35,0.7108956602031394,0.15919569695693436,0.005083486366132086,9.949532794172171e-11,4.869194275630725e-07,0.16028226881754937,0.3859073714272593,0.21523723234252223,9.088474132348394e-26,0.1184369643311368,1.1701368229939717e-09,0.9539468670701494,0.8653054467208744,0.9596637626128179,0.8785607746636466,0.016532697328349215,1.1583882576387612e-11,0.010066178522665422,0.36880139848595606,-2.8484541625547593,-0.18793986143828187,0.3186361976845915,0.27962675114481145,-0.09976018455228722,0.15544924522072234,-0.08363442910594548,0.3196138088046007,0.08086005697862281,3.1429961726861677,0.004755645750161538,-0.017356330801775656,0.00322424990086044,-0.026718476702006905,-0.1271026480467475,-3.3512594172921415,0.13032425792312818,0.04401754704138709
2025-03-01 00:48:01,2025-03-01 00:48:01,0.715232301313597,0.2528821435409179,0.022396345409422546,4.4066506351116045e-06,0.2456465692564851,0.05426179508289578,0.1103658359249248,0.025795448756732422,2.6549311342214557e-39,0.2799412185678305,0.004560563824102368,0.11651020421305823,0.6159668300407608,0.8259942885437812,0.1376056648010982,2.0983502341782435e-05,0.0019048186428355424,0.026491836038879116,0.8865951246556697,-2.8488990437400608,0.1915669506888686,0.24556602907225666,-0.0812774285439654,-0.13527566412385061,-0.2989048120403281,-0.14790867321787798,0.3919633986159507,0.05932825681828735,1.573765126024241,-0.09856960614673656,-0.07314353270907702,-0.011628423585913544,0.2792886462554537,-0.21989155405543448,-1.608963021329703,0.11842617958989476,0.007576586579100465
2025-04-01 01:00:17,2025-04-01 01:00:17,0.761466882649388,0.2909066547968268,1.8818792886542978e-06,1.1249976893209534e-13,0.7753634189178014,0.020157113594859416,0.004344463201061366,0.676715378059201,8.00762915225785e-54,0.39527016665733017,0.01723517448077269,4.109297650399323e-08,0.03550728364455286,0.06630494007174083,0.024879440715836355,3.560605207312878e-21,0.00012906425212385277,0.0006273457740882475,0.6907407598196718,-3.1023349859885507,-0.9180227999648367,0.5010380632688372,0.013791197851632454,-0.18080242902241656,-0.5191015510559615,-0.03207892047971581,0.3906754613440586,0.04350981257677493,0.7763906683790938,0.9475589617006696,-0.4876760773332858,0.05827596114970594,0.4387373296865834,-0.3988703330984176,-0.9546671013528886,0.1497998039769772,-0.02041907833078875
2025-05-01 00:31:43,2025-05-01 00:31:43,0.7317603784251844,0.17170803207248894,5.104267688802007e-10,1.192830782285491e-12,0.008457825346262632,0.004741877621493229,0.1670241078162633,0.8407494820830552,3.702424330906103e-49,0.004998420702445355,0.00022246819914733542,0.0007981285735652806,0.13394746483287745,2.130556370272767e-06,0.8498319114169889,6.7245445077273365e-22,1.7890630449782997e-07,0.00016520992679690236,0.04148763259474307,-3.249202866103508,-1.2680882716046402,0.2879174644025228,-0.11628643179445378,-0.23929711767259343,-0.25098344667093975,-0.017393095743005762,0.3381599746902562,-0.12908828281189919,0.8891595625907402,0.5806091016644958,0.3133282791908423,0.2383991711457604,-0.033643329116423475,-0.32917203923838895,-1.1735487140983984,0.1516723905436448,-0.1048538699989564
2025-06-01 00:15:13,2025-06-01 00:15:13,0.7387089400257685,0.33585012808684833,6.203090559349267e-05,4.901457555180534e-12,0.0045218055881263595,0.0015275973783107038,0.6502687392405262,0.21801701161471054,2.369707522446288e-42,8.736020428646956e-08,1.5186212395316003e-14,2.407899110271143e-06,0.002176722083088727,0.0027162235807528844,0.14165010617962262,0.7283644852440752,4.692427408648183e-19,0.0029876168016091916,0.1427344369657153,-2.8582256234565664,-0.7167616881682481,0.3356162082090502,-0.13061575641563802,-0.24757308077447987,-0.061551444941238743,-0.10180367152875533,0.34005688992691635,-0.2511394939662024,3.5322981515953176,0.7380963738473163,-0.5438828212343305,0.18964234150812678,-0.19806642517259213,-0.015017261421986191,-3.9761612359182323,0.11338256279788382,0.06797785854527398
2025-07-01 00:07:59,2025-07-01 00:07:59,0.6849979384681837,0.15484554414449098,1.0012912396855152e-07,7.553942861992015e-13,0.3322378764530983,0.3432401793868105,0.307568005573574,0.6169881221614957,4.8588563697392214e-30,0.004032405557195571,1.2916269373763373e-05,1.58061355056427e-08,4.685720099143635e-09,0.4036285549452322,0.0492233490235466,0.23760872559334179,2.646893344640259e-10,0.0024776280799197648,0.9557228107678658,-2.32811691312632,-0.34301410235406715,0.4155207133807539,-0.04802817717064228,-0.06688176258915784,0.14439383160717464,-0.03547145211863931,0.34509689089195306,-0.15587322679670956,2.374331881324983,0.39885056958383547,-0.7476700658363608,0.03999295411853386,-0.2782747038717078,-0.06051644549543608,-3.264361407400268,0.12499452664808745,-0.0022645154446581392
2025-08-01 00:04:35,2025-08-01 00:04:35,0.6824032333281517,0.1165541681050887,8.753551233271372e-10,0.0008146026942953435,1.0436514497558091e-05,0.04040869424262083,0.6331330922842753,0.013315417357701977,9.438745707933616e-29,0.9910044024678694,5.74137709664829e-05,3.2011712213100867e-08,0.00047734727019787984,0.041214368803069015,0.5413715379455646,3.7897635051059963e-13,6.076973308324653e-16,0.0013040075510944258,0.00015667414115663557,-2.5827416264343377,-2.605681884187806,11.904444964840772,0.20997058095098023,0.14616406836480403,-0.0316341345455924,0.17950032148001846,0.3108390631368032,-0.00046344144803364847,0.48741310353965156,2.3835346382119926,-12.45323174090498,0.07780116440592746,0.10573997815686619,-0.30899297197910613,-1.0863291539609459,0.13180544969102562,0.15924156233513043
2025-09-01 01:01:59,2025-09-01 01:01:59,0.7888336559182696,0.4515513237580241,8.79809352187955e-06,0.01166449300195805,4.016529429639139e-08,0.0073814903996677695,0.6344243447276421,0.0024572818775922475,3.0163318382439584e-66,4.08579659998411e-05,0.04512787379406207,1.4511896114186702e-07,0.12025049190181235,0.04273248140958249,0.5101574969893117,1.2308261546079144e-09,0.0016666561504177749,5.749342845557276e-07,0.025467095246365305,-2.5224848122201595,-2.037872072080386,0.20671713652347848,0.2784497882542472,0.16350673463475324,0.0680741917459142,0.18175899641218246,0.41578330575848627,-0.5159768657206756,-1.239563594106927,2.0158528030307905,-0.9975790191415038,0.054055403949704865,-0.0952005138013219,-0.22233700946045687,-0.2989767060730696,0.17925643974622787,0.08145462527961103
2025-10-01 00:02:55,2025-10-01 00:02:55,0.6488461309700826,0.25110813957403366,0.5309254103626703,0.7480270904172465,5.17044689919347e-05,0.0031378505671890455,0.003738009692300039,0.0027804688657768624,7.3085893822875885e-62,0.011367361385078512,0.03653094114968709,0.12059629725413115,0.09138658920513408,0.8553871401718018,0.002051132774568646,0.01441097701653843,1.4813018604944842e-05,0.0005627444513395813,0.9558978385650339,-2.254271814296635,-0.21078221015200857,0.0490987202163263,0.24783588030853565,0.21087733773352849,0.43416312973368115,0.2041015119275951,0.5520364699084079,-0.5077380036262994,-2.3295697357052787,0.3804186684346995,-1.8882655163098274,0.006461260652143835,-0.5020720559707147,-0.11738818625574608,-0.568546190561043,0.14604292550124623,-0.0022939975977555836
