interval_start,interval_end,roc_auc,pr_auc,p_borrow_rate_vs_open,p_ltv_vs_open,p_collateral_price_vs_open,p_collateral_price_vs_6h,p_volatility_6h,p_drawdown_6h,p_ltv_change_1h,p_distance_to_liq,p_borrow_rate_trend,p_ltv_times_rate,p_debt_change_1h,p_volatility_ltv,p_log_debt,p_log_dist_to_liq,p_hour_of_day,p_day_of_week,coef_const,coef_borrow_rate_vs_open,coef_ltv_vs_open,coef_collateral_price_vs_open,coef_collateral_price_vs_6h,coef_volatility_6h,coef_drawdown_6h,coef_ltv_change_1h,coef_distance_to_liq,coef_borrow_rate_trend,coef_ltv_times_rate,coef_debt_change_1h,coef_volatility_ltv,coef_log_debt,coef_log_dist_to_liq,coef_hour_of_day,coef_day_of_week,p_mean,elasticity_ltv_vs_open,elasticity_borrow_rate_vs_open,elasticity_collateral_price_vs_open,elasticity_ltv_change_1h,elasticity_distance_to_liq,elasticity_log_debt,elasticity_ltv_times_rate
2025-01-03 02:21:43,2025-01-03 02:21:43,0.7076625364916652,0.0699981489431975,0.014393693010032266,0.0002245206997516518,3.11281898098963e-08,0.034899902822970646,0.44145323167605366,0.05061938607482568,0.17259401306903233,0.01903817712746057,4.753210180824255e-05,0.0008609929539229009,0.17792991611114928,0.6067608211494746,0.0018633689229494157,0.019691024668752322,0.02215692750970097,0.16010470458031922,-3.683039927242489,-0.31670912892975406,0.2996592837534239,0.3571515153725252,-0.20292691371346044,-0.13966414687184814,-0.1731887133997305,-0.10121651772031999,-2.8068973466711746,0.5128879930470341,-0.5928611527281071,0.07941577202676792,0.09599815785732066,-0.1974654721757733,2.7460360017229517,0.1380416598572476,0.08663317802908642,0.02945756632782402,-0.0045219678299749395,-0.005392144246828933,-1339.596616398749,0.0010212767586182134,-1.1518753686674794,-1.0011519330850283,-0.019870067939200053
2025-02-01 03:12:35,2025-02-01 03:12:35,0.6097366293012102,0.07432459667110974,0.2826409341874975,0.00023983540843664435,2.7110100406778757e-09,0.022896924584659716,0.02493887520620084,0.6922465606461121,0.21170021056924926,5.3641469512777214e-08,0.23951887232969016,0.24506211020217383,0.02246948791002917,0.6024189677151056,3.5236369137023517e-16,1.8689811423172443e-08,0.0004621303951483474,7.974779794314098e-08,-3.400965772524077,-0.1081057480760335,0.2897566687209462,0.32556031745305425,-0.12759273631167567,0.1956207133827357,0.021354229395847368,-0.08558844275143697,-6.150794041491892,0.09578938431425164,-0.13535533974812905,0.11058432739903137,0.05042830285006915,-0.39099605585493724,6.122081319466334,0.16206520283254736,0.24315862819512354,0.041593775845925295,-0.01154575646985401,-0.0003069595596534775,-708.8202742922809,0.001914953602524187,-2.503707758296287,-1.9857807634951075,-0.003284127567507038
2025-03-01 00:48:01,2025-03-01 00:48:01,0.6046610704367584,0.09018622079094443,1.3354911279264301e-05,3.0316510852165907e-05,0.0014586178860718211,0.009294394350599594,0.6640527892848938,0.35419870870246295,0.17583216972996896,0.00027357435394932786,0.07871324407444585,0.2150714647713,0.6727850403977336,0.2112430401777733,1.4073701426318544e-14,0.00012153152692278457,0.4731831336798198,4.8437458452630605e-05,-2.9625381085044507,0.29275282263845104,0.369257963090875,-0.18114329417325842,-0.12674945444588598,0.046066776382444434,-0.04246658552728537,0.10526131619014058,-4.073489724011036,-0.08138144116671253,-0.1849687613292978,0.02102780493737042,0.1444906109805135,-0.32449739457452637,4.053913907409591,0.03098298138596401,0.1665164839956523,0.05520580642246241,-0.028911483411191312,-3.3118726935564116e-05,-469.9754211704769,-0.004690229455236377,-1.7584235220542574,-1.5416282812210664,-0.0034428144463763037
2025-04-01 01:00:17,2025-04-01 01:00:17,0.8658041174797326,0.17512005259987942,3.8009180618473224e-36,0.02700928331069284,5.558653173474627e-08,5.59751434466396e-05,0.5786149930675826,0.07229495869864568,0.17293504245223135,6.08873058477547e-07,4.560622609691782e-62,6.337626843797048e-27,0.06499253777006288,0.6829829020430147,2.389598828294703e-14,0.00012242803628524093,0.01875821435588982,0.15451374701365986,-4.06705349885856,-2.4196005785292773,0.25783337526980793,-0.340912939338763,-0.26542666281995275,-0.07362818189229155,-0.07452811036637216,0.1236303301863324,-5.840288141266061,3.421924833824882,-3.135750645432793,-0.07984993038441764,-0.06197172616084553,-0.3420487250639591,4.246551774337807,0.08373066095044715,-0.05614977921670588,0.04656836604711393,-0.019770474665639682,-0.048405439541598684,-791.3425075914854,-0.005319429763892762,-2.519710052693192,-1.7815665886598457,-0.08912256629507628
2025-05-01 00:31:43,2025-05-01 00:31:43,0.7639653247656366,0.14619956325174693,2.275882855096586e-34,0.04079404603073611,4.389502659826503e-15,0.0019974982940107926,0.8358772337631056,0.0006729413787965335,0.9314276030630813,2.063391885347943e-09,1.198950279260963e-46,2.540963147630384e-19,0.36748631961190603,0.007937443898781383,5.4112707206974516e-15,2.9505864186854323e-07,0.026911990170970384,6.386454127757677e-05,-4.233487914970169,-2.3184419171465898,0.22840912971999314,-0.5007395065993199,-0.24803149334930222,0.033643885801679284,-0.1543515103948775,-0.007891816753447703,-6.930157606853306,3.1495192845560567,-2.238748209119027,-0.039656888982683346,-0.517912013301502,-0.367325628521818,5.667591829306195,0.08585448114651965,-0.1606603067502327,0.03443309815685042,-0.013505758466357905,-0.062220398128891644,-105.99805944537621,0.00026303757780242774,-2.9145390780638967,-1.9711449014933535,-0.07461822222934238
2025-06-01 00:15:13,2025-06-01 00:15:13,0.6909890721936579,0.12945387973639183,3.0921621183747604e-22,0.4574887391614032,2.0002120148830303e-15,0.07589067535738238,0.11719224567528601,0.014753876013743865,0.0011402890323182451,1.3814072691012251e-06,1.294926923982374e-18,0.0006613389165162788,0.8351197494963694,0.7060974516482632,1.7485269044584013e-07,4.3613575991590325e-06,0.11015478336976618,4.6564892443125714e-07,-3.5069869630040804,-1.886983604373324,0.08643813418524357,-0.5711162856305624,-0.149145121243749,-0.30599935675901063,-0.14880490427422252,0.29098533468303606,-6.048555292410773,1.9561985628203822,-0.9081745670682628,0.011106061022544644,-0.08691325392950093,-0.2804030115384879,5.602566125843462,0.07558883982848039,-0.24405189923785625,0.05179992575897921,-0.006494816298540973,-0.03694034905318729,-632.9871110153323,-0.014358960007925527,-2.616418315439693,-1.398597929373838,-0.026265717174375106
2025-07-01 00:07:59,2025-07-01 00:07:59,0.6634238728272851,0.149230927432017,1.2134580207529146e-08,0.006329409352868541,0.006676931728450203,0.48182536943025844,0.7864564368852085,0.9543034397769382,0.004665225226710296,1.9130729859332534e-06,2.2486702320241567e-06,0.002789508798624427,0.4427341497213878,0.1392548094423238,2.6511344401807006e-14,4.617793054928373e-06,0.7558430903522364,0.7390795368596166,-2.646096194367775,-0.7020883282138106,0.3790183655162467,-0.16652070721797294,0.04470572217095171,-0.03720842456836315,-0.003446868802909819,0.30816154166125176,-7.418240279652252,0.6597516201831806,-0.6532458251578862,-0.05417510892461492,0.21176423525514232,-0.4815880756986433,6.742610936129987,-0.014331600581808263,-0.015457167452080976,0.08411191121481752,-0.04319950751554969,-0.0027024786614401816,-114.1616483131388,-0.025990111735813268,-3.426184467121233,-2.1738256204874893,-0.013712277703741182
2025-08-01 00:04:35,2025-08-01 00:04:35,0.7643585699263933,0.15321758845943537,3.0830927458245496e-10,3.034892192203158e-07,0.0005845454601831373,0.01500240796534327,0.7424063644370635,0.3170476858161063,0.5456018785389407,5.442343227373913e-09,1.0107783265994695e-11,0.017484961870500408,0.8654174905247718,0.6047891962364264,1.5423990548400874e-18,3.073788129975393e-08,0.8985539154948823,0.6822746500846684,-3.1773893047302346,-5.212557002212243,0.597763704488818,0.26598132253816387,0.14951264749187632,0.041783108998857024,0.05791218586326446,0.06799279699391228,-8.676087611983604,5.227886980698888,-1.6891140851472244,-0.01044978259497578,0.06888326785038663,-0.5213598296326856,7.369686377334316,-0.005377086691266885,-0.018467674964656063,0.06679629750897244,-0.05744957629091199,-0.04659368573273067,344.346022215877,-0.004531515575736895,-3.934827475505959,-2.3931030833978797,-0.04707464595993808
2025-09-01 01:01:59,2025-09-01 01:01:59,0.7934551133405898,0.21692170429459304,6.000468312124007e-16,3.93707245116828e-09,4.0581639717297993e-17,0.00040077263573887987,0.10814970489783539,0.22492135404520586,0.28073053853923724,1.1668269934248901e-14,1.1531419865588177e-20,0.012112514854573866,0.3088361442377774,0.49651174099076045,2.2820231886037942e-21,2.5579381379764075e-14,0.25014451599596477,0.9840893499008031,-3.563254953009542,-5.353499553273591,0.6968674511821105,0.8126743447910487,0.2636173421023569,0.17532343685539667,0.06154274344058948,-0.12643592929555936,-10.770667736560627,5.270172752079216,-1.7141700152308068,0.061453336415899,-0.08931177891885717,-0.5145629360732374,9.459668262236715,-0.04449463136864322,-0.0008508320634606699,0.056108206525630214,-0.05189153307701969,-0.04173269028600001,-2288.535620796221,0.006578860348903872,-4.7169367041847785,-2.3503698722980286,-0.05067404216627224
2025-10-01 00:02:55,2025-10-01 00:02:55,0.7285974123554531,0.20430181142465126,4.673516218366264e-07,3.836517503166655e-06,6.2394121658772125e-24,0.0037398860126168195,0.3645082261383902,0.26683614594812166,0.14822081527931785,1.2140471392802879e-14,2.3177702999074384e-07,0.5741838985531906,0.5305652338393186,0.586211877059061,5.7006479289514755e-22,3.636964510149356e-18,0.26156775326555926,0.3585523380512752,-3.204436304115741,-2.3119527403828797,0.5900026338520644,1.002834092477218,0.24824000345336647,0.10257417484159842,0.05028059379538714,0.1634742405145565,-11.840712297367224,1.9967643194268716,-0.44792268900850735,0.03701621620572647,-0.08383983219200083,-0.5140588386255582,11.21265308735806,-0.04438337989573659,-0.036796847086636754,0.07996377976532718,-0.03930980127089882,-0.002655321779924868,-6091.119464934838,-0.00859687171217645,-5.000384831106726,-2.1854682749906686,-0.011789935734889784
