interval_start,interval_end,roc_auc,pr_auc,p_borrow_rate_vs_open,p_ltv_vs_open,p_collateral_price_vs_open,p_collateral_price_vs_6h,p_volatility_6h,p_drawdown_6h,p_hours_since_open,p_hours_since_last_action,p_action_count_last_6h,p_ltv_change_1h,p_distance_to_liq,p_borrow_rate_trend,p_ltv_times_rate,p_debt_change_1h,p_volatility_ltv,p_log_debt,p_log_dist_to_liq,p_hour_of_day,p_day_of_week,coef_const,coef_borrow_rate_vs_open,coef_ltv_vs_open,coef_collateral_price_vs_open,coef_collateral_price_vs_6h,coef_volatility_6h,coef_drawdown_6h,coef_hours_since_open,coef_hours_since_last_action,coef_action_count_last_6h,coef_ltv_change_1h,coef_distance_to_liq,coef_borrow_rate_trend,coef_ltv_times_rate,coef_debt_change_1h,coef_volatility_ltv,coef_log_debt,coef_log_dist_to_liq,coef_hour_of_day,coef_day_of_week
2025-01-01 00:58:01,2025-01-01 00:58:01,0.7038574591540693,0.19563051589655672,0.831940825460414,0.00021067144797123728,0.0026992344426522916,0.8564855585642808,0.978018080430043,0.7456625640318402,0.7877537227738408,1.99988538763114e-15,1.5820797413405546e-06,0.00016073157068856143,5.436487981942261e-07,0.9031663752293881,0.8764509539502008,0.3328919493027859,0.5527913225055243,9.404730984740318e-06,1.1566765899874585e-06,0.7824366266986267,0.07333680899571371,-2.7659442452402376,0.028748922945256897,-0.3343364307380888,0.19361503309916442,0.016526842113703557,-0.006935902934326824,0.031080368606673726,0.017820636889172105,-1.3590272741152793,0.19331315015742173,0.18738738589315598,3.15021285069656,-0.012250936920652098,0.025033533648655307,-0.03500737682341785,0.15251840785837695,0.30980110135139205,-3.138123550339708,-0.015542394782545828,-0.11187305160384518
2025-02-01 03:58:47,2025-02-01 03:58:47,0.8049777694866772,0.25732032072688815,0.07225039447259057,0.0003520003450459719,0.23057926128393136,0.5251523501068406,0.3316281685111244,0.9411239723540681,0.00010254045759178051,3.1354260402709153e-13,0.17673674748722268,0.3149757830676213,0.00010447409876417413,0.9266036876666905,0.3745873089602547,0.6465472727346286,0.2679660069255818,6.659668401017597e-05,0.00016212418657676533,0.02808407912653028,0.04262327992589405,-5.191961469962543,-0.26339283215045567,0.31181258380384963,-0.1561364389342061,-0.0823069319718978,0.3669860044382394,-0.010374225538349463,-0.648823724386012,-2.862128043710405,0.06220597296761466,0.05570668958563381,3.3364026282714634,-0.009495604865048819,0.14994563865714072,0.022486434164987686,-0.4280030118354293,0.4337555207215128,-3.3464404408398467,0.18376099865313847,-0.18707642465505983
2025-03-03 01:45:55,2025-03-03 01:45:55,0.5223269880804127,0.04379388354084378,0.3588482342550482,0.06536561608283592,0.2568543638913139,0.005738597847893221,0.18814865181514895,0.9303844941543555,0.7838065502269769,1.4000400136160156e-06,0.0010646822262847056,0.05324557836621408,0.11944437048841713,0.1178650214592639,0.629485774385308,0.03391698795098171,0.4315914483175979,0.011649735455305253,0.0791720561417086,0.36688735827599217,0.2474823304979542,-3.5979908019043574,0.1429238712846999,0.21613444103020268,0.1539837710756939,-0.43819060684337796,0.34811299207054036,0.016490253700874064,-0.03886433563366899,-1.1679772239024881,0.19161355664662397,0.15992048098594377,-1.8372231187103187,-0.16077945925346332,0.15409879187904646,-0.2141143382721187,-0.24191579338480637,-0.33346921624035963,2.155673137213033,-0.09507433893860362,-0.13296112536634985
2025-04-02 05:55:25,2025-04-02 05:55:25,0.6012793176972281,0.0717955493315603,0.4697139546725011,0.9025519068265124,0.510029790473832,0.29832488427001835,0.15187875388498928,0.5727093707097959,0.30715399916966524,0.0038411599343753265,0.6353749721388458,0.019742743815688947,0.5046129860176962,0.9243597965183672,0.19110212643469837,0.09208998187052805,0.2257490931969588,4.2721738433789986e-05,0.26752458098389476,0.1112510782159379,0.1949386275080417,-2.92287818109204,0.40863436599792646,0.019119054530635688,-0.2163819515849448,-0.22048541346937864,-1.083920042079541,-0.1281931267311465,-0.3838651761051197,-3.0268949157606193,0.06082737314509579,0.39012770724979734,1.6798451478884726,0.02674707513683558,-1.722216431782192,-0.19640789661350377,0.9606361608912681,0.7704677346831883,-2.548126746929063,-0.22286720448509803,-0.19729153213116732
2025-05-01 05:16:15,2025-05-01 05:16:15,0.7161616161616161,0.46132277308747893,0.6706356570516607,0.27020179581136794,0.20025249638599774,0.48071733107276315,0.30580537761811666,0.36104777542033073,0.13502501324973984,0.06575719495439455,0.03956329961209909,0.0004516465606475747,0.0003396645213413443,0.06660478189907083,0.4959622745501353,0.08063731634680514,0.1812359976391954,0.07176103764908112,0.00014819486442355442,0.0648935942343465,0.9527080062543065,-1.6142118966256032,-1.932107238765104,-0.31425637856429434,0.2636363844550491,-0.16478747515649128,-0.7519889983742811,0.20413931208977193,-0.38276784961255617,-2.4282487503828634,0.3462164571017899,0.9198934719911906,11.174309192839058,-1.1429631528712594,3.1356440889446744,0.29026945388602926,1.0519822202241491,0.4585139602804141,-9.438166181894685,0.27841140932061104,-0.011011598654278636
2025-06-01 01:55:29,2025-06-01 01:55:29,0.3651282051282051,0.1253022074406818,0.10780172261171973,0.07752545006512615,0.06832071900733339,0.9745135224254498,0.7066850468164901,0.19876197988313127,0.0001842900206087665,0.17485786483419685,0.46840076042679746,0.7372935549951778,0.15520763035758905,0.07597159614653433,0.17423026831627098,0.18681776269279637,0.4240624648419562,0.018115300709710368,0.0545095346921956,0.6602040190879849,0.5594468748476188,-2.625927344038012,2.2681025791536684,0.624452232454882,0.7961383542714813,0.012277789894103757,0.28593609354475497,0.4938935835185195,-1.4541451725637675,-0.7018135572679217,0.12469696109660457,-0.09195892079674944,4.963495338775001,-1.2315247384023484,-2.345732289638817,-0.18040660829881888,-0.7578007309459112,1.053802029766276,-6.677189035543916,-0.08711752178457143,0.1521392301127096
2025-07-01 16:11:37,2025-07-01 16:11:37,0.5804217940094172,0.43796246826530416,0.9384920301216634,0.29554335580394053,0.6411987719136172,0.09733091971772813,0.747701514261087,0.6075588251353325,0.050512153896536884,3.847341405466921e-06,0.1481760201330129,0.4557992740303204,0.2852408921985684,0.10141575832060554,0.0028633391617829914,0.7305454560819085,0.2612450404592819,0.6571987631496139,0.4573539389610707,0.17768201055363486,0.01946570348163632,-2.011145254098335,-0.011273141567358135,0.16132039739560627,0.042697358131173174,0.18431643356247862,-0.09144330993228172,0.059623882963866406,0.25897769046847513,-1.1150191741995077,0.09898098087706483,-0.11297388220258311,-1.1271512081115662,0.1990665941623492,-1.0189743597650227,-0.024432624246736673,0.33962886010628685,0.043195677679374996,0.7657811982412452,0.10425130173963645,-0.19104687969300355
2025-08-01 01:42:17,2025-08-01 01:42:17,0.6416086882742237,0.4645093023623322,0.0016104183533698318,0.49878806948855425,0.2518850971780826,0.6630603910424623,0.010692775905111158,0.04266987543141897,0.0014314815237437743,0.0018718374915886408,0.028409520412820237,0.2193278959604782,0.5713127973115865,0.01601353815275815,0.9007532759371641,0.8411894932689373,0.12519201418480133,0.551070022537915,0.6307073137872616,0.0019917179407415607,0.3851293171315745,-16.343002727729075,-0.8926839498302468,-7.509558965588778,0.14518160134385183,0.07489357475839468,0.7825894070394109,0.36939693713148714,0.7147825701145132,-3.0482487230603805,0.17832466070428432,1.4895932121726507,-0.7041812213878574,0.21601341057787657,2.4286579454674464,0.015083042265104145,-21.404452859454064,0.07423051194498105,0.6024110030588656,0.35334690151777165,0.09456018808769559
2025-09-01 16:46:27,2025-09-01 16:46:27,0.6290034751573212,0.21463233507596344,0.6463556588831274,0.0017627691674862616,0.047560251944218965,0.4837598692542744,0.8449194283147526,0.9636793750149635,0.013426559960237675,1.8687556574698619e-06,0.0022413377617485557,0.052579338345921434,0.7892364553351169,0.01847190392946268,0.0028835702202275647,0.3254722281557675,0.6949691919439567,0.0014995773330985732,0.09431628801858825,0.004813310133317572,0.7894269443583093,-1.7376175192141325,-0.32938484178768057,0.3097911739123218,0.16050256688733566,-0.08924977438307798,0.08167664870267693,0.005757139646246845,-0.20384433908648164,-0.8333076782149659,0.17741688526900243,-0.16751226862566693,-0.1939075324195586,1.3578669274646784,-1.816577749282698,-0.06458258000720259,-0.1726338877606858,0.25418724656456904,-1.171240657401669,0.19441050424045134,0.018141013463825423
2025-10-01 00:06:43,2025-10-01 00:06:43,0.7193739359232316,0.1946302609358833,0.8804690451949962,0.04267129113307793,0.057556682273244564,0.0013984403133006289,0.006152970867660145,0.036199849068508705,1.5441618745315245e-05,1.1513610928419473e-10,1.5253023027645372e-13,0.4061634950406756,0.9982166223221733,0.2671044743858084,1.2716687038710747e-05,0.30685576413446436,0.004471583159942414,1.1467584734594353e-15,0.05196963055660538,0.04265438120847744,0.2575452103813801,-2.384794529296229,0.0434186522223983,0.18586020048702678,-0.2575432976675305,0.32116185553588833,0.7691657608876304,0.19157602169875335,-0.5371514821379324,-0.9455245532747107,0.3537123492406212,-0.05147491256748322,0.0016690774029503985,0.2873088722493244,-1.5523293414237638,-0.04816419517359993,-0.9638105732731783,0.5234628689900379,-1.4070473748809051,0.10972387299158351,0.06102824973182324
