iter	Logloss
0	0.6139808933
1	0.5469072115
2	0.5052444143
3	0.4649929889
4	0.4393467992
5	0.4217398992
6	0.4015517115
7	0.3914288229
8	0.3779146026
9	0.3678355843
10	0.3602555458
11	0.3547491883
12	0.3503628394
13	0.3433258031
14	0.3403247559
15	0.335389397
16	0.3330784604
17	0.3290133895
18	0.3266674815
19	0.3221660817
20	0.3172244002
21	0.3149161538
22	0.3110290063
23	0.3094323391
24	0.3076736926
25	0.3065931909
26	0.305770486
27	0.3045777538
28	0.3031115903
29	0.3013950148
30	0.2999665156
31	0.2988526457
32	0.2970532625
33	0.2953597102
34	0.2943303253
35	0.2915939769
36	0.2905299313
37	0.289375511
38	0.2883551056
39	0.2855902135
40	0.2851327155
41	0.2830680754
42	0.281829707
43	0.2808036009
44	0.2796532594
45	0.2788362327
46	0.2781380037
47	0.277519953
48	0.2765583581
49	0.2754760649
50	0.2744657553
51	0.2737836175
52	0.2729486318
53	0.272403516
54	0.2713899341
55	0.2702231355
56	0.2695183561
57	0.2685106902
58	0.2672152614
59	0.266265595
60	0.2655322497
61	0.2644748484
62	0.2635254945
63	0.2619640724
64	0.2607060203
65	0.2600561112
66	0.2595291454
67	0.2577751551
68	0.2570308469
69	0.256230321
70	0.2550799666
71	0.2523761859
72	0.2515788591
73	0.2506836169
74	0.2499624046
75	0.2477326747
76	0.2467843678
77	0.2460791222
78	0.2455832187
79	0.2441046943
80	0.2436624184
81	0.2420145636
82	0.2409357422
83	0.2403111784
84	0.2392573657
85	0.2388746637
86	0.2381733077
87	0.2370430467
88	0.2363966278
89	0.2360391227
90	0.2344594844
91	0.2334097678
92	0.2329377623
93	0.2310524688
94	0.2300629921
95	0.2293036102
96	0.2280569482
97	0.2276594959
98	0.2268554391
99	0.2262032279
100	0.2246213549
101	0.2237775605
102	0.2226831319
103	0.2221658076
104	0.221591892
105	0.2208536135
106	0.220152959
107	0.2193080464
108	0.2189154093
109	0.2183047472
110	0.2174964682
111	0.21674042
112	0.2161124923
113	0.2156008167
114	0.2145426515
115	0.2131918206
116	0.2123762262
117	0.2117388221
118	0.2110718225
119	0.2103264631
120	0.2100194683
121	0.2091675818
122	0.2081856838
123	0.2074974862
124	0.2068201087
125	0.2063710092
126	0.2055739506
127	0.2052528994
128	0.2044438484
129	0.2038401119
130	0.2033390723
131	0.2028257334
132	0.2024168165
133	0.2011746633
134	0.2007548601
135	0.2000843266
136	0.1996065536
137	0.1991921913
138	0.1987528907
139	0.1982305368
140	0.1978316841
141	0.1968574665
142	0.1964164638
143	0.195912415
144	0.1953335625
145	0.1944999588
146	0.194111936
147	0.1936642015
148	0.1934047797
149	0.1927912611
150	0.1922301346
151	0.1918414137
152	0.1914167846
153	0.1907696993
154	0.1900047775
155	0.1890862423
156	0.1884596331
157	0.1881393879
158	0.1875349924
159	0.1867433388
160	0.1862914298
161	0.1857144979
162	0.1851819892
163	0.1848164576
164	0.1843565051
165	0.1839551976
166	0.1834935926
167	0.1833047046
168	0.1824392848
169	0.1821466888
170	0.1818037314
171	0.1814067749
172	0.1808581029
173	0.180381185
174	0.1799222759
175	0.1793975897
176	0.1788323652
177	0.1785501221
178	0.1780233039
179	0.1778047352
180	0.177332668
181	0.1768554578
182	0.1765631061
183	0.176049904
184	0.1754916735
185	0.1751433038
186	0.1748258884
187	0.1742515297
188	0.1739443829
189	0.1736303888
190	0.1731715643
191	0.1727871513
192	0.1721083928
193	0.1716454874
194	0.1712482274
195	0.1706040854
196	0.1703201388
197	0.1697179139
198	0.1694017322
199	0.1686153727
200	0.1683581492
201	0.1680848821
202	0.1677587836
203	0.1674058841
204	0.1667126225
205	0.1663182087
